Bridge Site ID,Longitude,Latitude,District
0063Z00000oLE2p,30.080091,0.321051,Kasese
0063Z00000nrpuU,30.099706,0.32044,Kasese
0063Z00000kcREm,30.099614,0.320219,Kasese
0063Z00000nrpuy,30.151438,0.318519,Kasese
0063Z00000nrpuj,30.055958,0.313134,Kasese
0063Z00000nrpvw,30.104902,0.31149,Kasese
0063Z00000nrpxx,30.171791,0.292831,Kasese
006f100000efM3Z,30.110648,0.289855,Kasese
006f100000ef4lC,30.109818,0.266854,Kasese
0063Z00000nrpuo,30.076722,0.257728,Kasese
0063Z00000oLE3Y,30.198658,0.251201,Kasese
0063Z00000oLE13,30.144712,0.247111,Kasese
0063Z00000oLE1m,30.178211,0.234287,Kasese
006f100000d7bJZ,29.997567,0.221417,Kasese
0063Z00000kcJFB,30.039388,0.214307,Kasese
006f100000efM3e,30.039798,0.214105,Kasese
0063Z00000kcJF6,30.015778,0.197593,Kasese
0063Z00000oLjcu,30.063418,0.190383,Kasese
006f100000d7bJe,30.030177,0.186533,Kasese
0063Z00000oLjgX,29.965499,0.177334,Kasese
0063Z00000oLjgc,29.964349,0.175244,Kasese
0063Z00000oLjgh,29.964487,0.165684,Kasese
0063Z00000oLjgN,29.930593,0.161423,Kasese
0063Z00000oLjgm,29.965507,0.155498,Kasese
0063Z00000oLEBD,29.926481,0.150698,Kasese
006f100000ef4h4,29.926509,0.150543,Kasese
0063Z00000oLjgI,29.929437,0.149982,Kasese
0063Z00000mYo9U,30.560468,0.148178,Ibanda
0063Z00000oLjgD,29.932185,0.145386,Kasese
0063Z00000mYo9P,30.569432,0.143866,Ibanda
0063Z00000oLjca,29.994049,0.141642,Kasese
0063Z00000oLjg8,29.934607,0.141358,Kasese
0063Z00000oLjfj,29.939336,0.134302,Kasese
0063Z00000oLjfe,29.945631,0.131058,Kasese
0063Z00000oLjcf,29.992582,0.125503,Kasese
0063Z00000nruBR,29.755668,0.118978,Kasese
0063Z00000oLE6N,29.784565,0.117068,Kasese
0063Z00000oLE71,29.759679,0.115718,Kasese
0063Z00000nrsU4,29.914496,0.114932,Kasese
0063Z00000nrsU9,29.915023,0.110779,Kasese
0063Z00000oLE18,29.932376,0.109207,Kasese
0063Z00000oLjgr,29.73604,0.108615,Kasese
0063Z00000nIeJT,29.897304,0.105788,Kasese
0063Z00000oLE6h,29.73709,0.104166,Kasese
0063Z00000oLEBS,29.917701,0.098871,Kasese
0063Z00000oLE7G,29.740045,0.098281,Kasese
0063Z00000nruBM,29.760961,0.095858,Kasese
0063Z00000mYo9o,30.565531,0.095771,Ibanda
0063Z00000oLjd9,30.028037,0.095169,Kasese
0063Z00000oLjd4,30.029107,0.094882,Kasese
0063Z00000oLE8s,29.893158,0.094603,Kasese
0063Z00000oLEA0,29.894541,0.092171,Kasese
0063Z00000oLE6I,29.776594,0.091797,Kasese
0063Z00000nruBW,29.746801,0.088755,Kasese
0063Z00000fDo2Y,29.741353,0.088369,Kasese
0063Z00000oLEAA,29.897366,0.087095,Kasese
0063Z00000oLE7p,29.899499,0.082716,Kasese
0063Z00000nruDm,29.90038,0.08068,Kasese
0063Z00000oLjcg,30.049194,0.078397,Kasese
0063Z00000oLE92,29.900453,0.076826,Kasese
0063Z00000oLjcz,30.050705,0.076227,Kasese
0063Z00000nruCF,29.89759,0.076043,Kasese
0063Z00000nruE1,29.87478,0.070728,Kasese
0063Z00000oLE9b,29.910995,0.070146,Kasese
0063Z00000oLE8Y,29.871359,0.069131,Kasese
0063Z00000oLjcp,29.957458,0.068152,Kasese
0063Z00000nIeJY,29.871038,0.065598,Kasese
0063Z00000oLE7V,29.873469,0.065165,Kasese
0063Z00000nruDr,29.911983,0.064652,Kasese
006f100000ef4gu,29.911981,0.064435,Kasese
0063Z00000oLjck,29.960176,0.051144,Kasese
0063Z00000nruBl,29.813406,0.049084,Kasese
0063Z00000nruCZ,29.813093,0.048897,Kasese
0063Z00000mYvHm,30.429797,0.046618,Ibanda
0063Z00000ixAic,30.538538,0.045227,Ibanda
0063Z00000oLE9q,29.850649,0.043354,Kasese
0063Z00000nruC5,29.858419,0.042318,Kasese
0063Z00000nruDh,29.85145,0.041356,Kasese
0063Z00000mYvHc,30.428799,0.040231,Ibanda
0063Z00000oLE6r,29.846857,0.037928,Kasese
0063Z00000oLE7z,29.857091,0.035902,Kasese
0063Z00000oLE7k,29.856901,0.034742,Kasese
0063Z00000ixAhZ,30.599913,0.033434,Ibanda
0063Z00000oLE9M,29.814517,0.032395,Kasese
0063Z00000nruCe,29.855496,0.031779,Kasese
0063Z00000oLE7L,29.808948,0.031527,Kasese
0063Z00000oLE8E,29.808621,0.031185,Kasese
0063Z00000oLE9R,29.868645,0.031104,Kasese
0063Z00000nruDN,29.857984,0.028409,Kasese
0063Z00000mYvHD,30.591351,0.026819,Ibanda
0063Z00000mYvHX,30.455347,0.02417,Ibanda
0063Z00000oLE8T,29.84045,0.02403,Kasese
0063Z00000nIeJd,29.848451,0.023428,Kasese
0063Z00000oLE9W,29.856564,0.022898,Kasese
0063Z00000nruCj,29.81342,0.022374,Kasese
0063Z00000nruDX,29.857893,0.021101,Kasese
0063Z00000nruDw,29.850035,0.020771,Kasese
0063Z00000mYvHI,30.586157,0.019754,Ibanda
0063Z00000nruDI,29.846355,0.01971,Kasese
0063Z00000nruBH,29.750094,0.018187,Kasese
0063Z00000mYvHN,30.455856,0.017306,Ibanda
0063Z00000nruBv,29.813419,0.015589,Kasese
0063Z00000mYvI6,30.402506,0.014845,Ibanda
0063Z00000mYvHw,30.398234,0.009637,Ibanda
