Bridge Site ID,Latitude,Longitude,Country,Region
1014005,-1.70002,29.34484,Rwanda,Rubavu
1014007,-1.70278,29.33445,Rwanda,Rubavu
1014041,-1.67428,29.36004,Rwanda,Rubavu
1014042,-1.676,29.35857,Rwanda,Rubavu
1007616,-1.7300556,30.07325,Rwanda,Rulindo
1007618,-1.7617222,29.9620556,Rwanda,Rulindo
1007644,-1.7471389,30.0243333,Rwanda,Rulindo
1013972,-2.49231,28.91087,Rwanda,Rusizi
1014090,-2.7023,29.00658,Rwanda,Rusizi
1007669,-2.0150833,29.429,Rwanda,Rutsiro
1007327,-2.072628,30.204381,Rwanda,Bugesera
1014568,-2.10574,30.087112,Rwanda,Bugesera
1014570,-2.335818,30.075542,Rwanda,Bugesera
1014571,-2.32955,30.056882,Rwanda,Bugesera
1014596,-2.22306,30.056,Rwanda,Bugesera
1014597,-2.22306,30.0561,Rwanda,Bugesera
1014598,-2.20524,30.07864,Rwanda,Bugesera
1014619,-2.261622,29.988408,Rwanda,Bugesera
1007332,-1.377,29.80729,Rwanda,Burera
1007336,-1.48563,29.88871,Rwanda,Burera
1012972,-1.55437,29.85284,Rwanda,Burera
1012973,-1.56439,29.85781,Rwanda,Burera
1012974,-1.54643,29.84546,Rwanda,Burera
1012975,-1.55797,29.86744,Rwanda,Burera
1012976,-1.57513,29.87746,Rwanda,Burera
1012977,-1.58122,29.88095,Rwanda,Burera
1013223,-1.51139,29.81161,Rwanda,Burera
1013227,-1.51287,29.8126,Rwanda,Burera
1013228,-1.55931,29.88196,Rwanda,Burera
1013229,-1.59194,29.89186,Rwanda,Burera
1013230,-1.605,29.89527,Rwanda,Burera
1013232,-1.59537,29.89217,Rwanda,Burera
1013234,-1.60203,29.89157,Rwanda,Burera
1013235,-1.59993,29.85702,Rwanda,Burera
1013236,-1.59631,29.85719,Rwanda,Burera
1013237,-1.61204,29.86299,Rwanda,Burera
1013238,-1.60708,29.85897,Rwanda,Burera
1013239,-1.5999,29.88097,Rwanda,Burera
1013240,-1.6032,29.85826,Rwanda,Burera
1013241,-1.758679,29.8733,Rwanda,Burera
1013242,-1.59526,29.87748,Rwanda,Burera
1013243,-1.59855,29.89346,Rwanda,Burera
1013244,-1.58391,29.85683,Rwanda,Burera
1013245,-1.60154,29.88182,Rwanda,Burera
1013246,-1.56507,29.83916,Rwanda,Burera
1013316,-1.50342,29.95362,Rwanda,Burera
1013317,-1.50145,29.95181,Rwanda,Burera
